X,Y
0,127
1,126
2,125
3,124
4,124
5,123
6,122
7,122
8,121
9,121
10,121
11,120
12,120
13,120
14,119
15,118
16,118
17,118
18,118
19,118
20,118
21,118
22,118
23,118
24,118
25,118
26,118
27,118
28,118
29,118
30,119
31,121
32,122
33,123
34,123
35,123
36,123
37,122
38,122
39,122
40,122
41,122
42,123
43,125
44,126
45,126
46,126
47,126
48,126
49,125
50,124
51,121
52,119
53,119
54,118
55,117
56,117
57,117
58,117
59,117
60,117
61,116
62,115
63,115
64,114
65,114
66,113
67,113
68,113
69,113
70,114
71,114
72,116
73,117
74,118
75,118
76,118
77,118
78,117
79,116
80,115
81,115
82,114
83,113
84,112
85,112
86,111
87,111
88,110
89,109
90,108
91,107
92,106
93,106
94,105
95,105
96,105
97,104
98,104
99,103
100,103
101,102
102,102
103,101
104,101
105,101
106,101
107,101
108,100
109,101
110,101
111,104
112,109
113,117
114,125
115,131
116,137
117,138
118,142
119,144
120,144
121,144
122,147
123,148
124,152
125,152
126,151
127,150
128,142
129,137
130,134
131,132
132,131
133,131
134,131
135,131
136,131
137,131
138,132
139,132
140,132
141,132
142,132
143,132
144,132
145,132
146,131
147,131
148,131
149,131
150,131
151,131
152,131
153,131
154,131
155,132
156,132
157,133
158,133
159,133
160,133
161,133
162,133
163,133
164,133
165,132
166,132
167,132
168,132
169,131
170,131
171,131
172,130
173,129
174,128
175,128
176,126
177,126
178,125
179,124
180,124
181,124
182,124
183,124
184,124
185,124
186,124
187,124
188,124
189,124
190,124
191,124
192,125
193,125
194,126
195,126
196,126
197,126
198,127
199,127
200,127
201,127
202,127
203,128
204,128
205,128
206,128
207,129
208,129
209,129
210,129
211,130
212,130
213,130
214,130
215,130
216,131
217,132
218,133
219,133
220,133
221,133
222,134
223,134
224,134
225,134
226,133
227,132
228,132
229,132
230,132
231,132
232,132
233,131
234,129
235,129
236,128
237,128
238,128
239,128
240,128
241,128
242,128
243,128
244,128
245,128
246,127
247,127
248,127
249,127
250,127
251,127
252,127
253,127
254,127
255,127
256,127
257,127
258,126
259,125
260,125
261,125
262,125
263,125
264,125
265,125
266,125
267,125
268,126
269,129
270,134
271,141
272,143
273,147
274,148
275,148
276,148
277,145
278,142
279,141
280,138
281,137
282,133
283,131
284,124
285,115
286,108
287,99
288,95
289,89
290,89
291,89
292,88
293,88
294,88
295,88
296,88
297,88
298,88
299,88
300,88
301,88
302,88
303,88
304,88
305,88
306,88
307,88
308,88
309,88
310,88
311,88
312,88
313,88
314,88
315,88
316,88
317,88
318,88
319,88
320,88
321,88
322,88
323,89
324,89
325,89
326,89
327,89
328,89
329,89
330,89
331,89
332,89
333,89
334,89
335,89
336,89
337,89
338,89
339,90
340,90
341,90
342,90
343,90
344,90
345,90
346,90
347,90
348,91
349,91
350,91
351,91
352,91
353,91
354,91
355,91
356,92
357,92
358,92
359,92
360,92
361,92
362,92
363,93
364,93
365,93
366,93
367,93
368,93
369,93
370,93
371,94
372,94
373,94
374,94
375,94
376,94
377,94
378,94
379,94
380,94
381,94
382,95
383,95
384,95
385,95
386,96
387,96
388,96
389,97
390,97
391,98
392,98
393,99
394,99
395,100
396,101
397,101
398,101
399,102
400,104
401,104
402,106
403,107
404,107
405,109
406,111
407,113
408,113
409,115
410,117
411,118
412,119
413,122
414,124
415,125
416,126
417,128
418,129
419,130
420,130
421,130
422,130
423,130
424,129
425,129
426,128
427,128
428,128
429,128
430,128
431,129
432,129
433,129
434,130
435,130
436,131
437,131
438,131
439,131
440,131
441,131
442,131
443,131
444,131
445,130
446,130
447,130
448,130
449,130
450,130
451,130
452,130
453,130
454,130
455,130
456,130
457,130
458,130
459,130
460,129
461,129
462,129
463,129
464,129
465,129
466,129
467,129
468,129
469,129
470,129
471,129
472,129
473,128
474,128
475,128
476,128
477,128
478,128
479,128
480,128
481,129
482,129
483,129
484,129
485,129
486,129
487,129
488,129
489,129
490,130
491,130
492,130
493,131
494,131
495,131
496,132
497,132
498,132
499,132
500,132
501,132
502,132
503,132
504,132
505,131
506,130
507,130
508,129
509,128
510,127
511,126
512,126
513,125
514,125
515,125
516,124
517,124
518,124
519,124
520,124
521,124
522,124
523,124
524,124
525,124
526,124
527,124
528,124
529,124
530,124
531,124
532,124
533,124
534,124
535,124
536,124
537,124
538,124
539,124
540,123
541,123
542,123
543,123
544,123
545,123
546,123
547,123
548,123
549,123
550,123
551,123
552,123
553,123
554,123
555,123
556,123
557,123
558,123
559,123
560,123
561,119
562,81
563,72
564,72
565,71
566,70
567,69
568,69
569,69
570,69
571,68
572,68
573,68
574,67
575,66
576,64
577,62
578,58
579,56
580,54
581,52
582,52
583,52
584,52
585,52
586,53
587,53
588,53
589,53
590,52
591,50
592,49
593,48
594,49
595,50
596,50
597,49
598,47
599,45
600,43
601,40
602,39
603,38
604,38
605,38
606,38
607,39
608,39
609,40
610,42
611,43
612,46
613,46
614,47
615,47
616,46
617,45
618,45
619,45
620,46
621,47
622,51
623,53
624,55
625,56
626,56
627,57
628,58
629,58
630,60
631,64
632,67
633,67
634,65
635,62
636,61
637,59
638,58
639,59
640,61
641,62
642,66
643,71
644,73
645,76
646,79
647,80
648,81
649,85
650,85
651,89
652,93
653,95
654,96
655,98
656,100
657,101
658,102
659,102
660,103
661,103
662,103
663,103
664,103
665,102
666,99
667,95
668,94
669,93
670,93
671,92
672,92
673,92
674,92
675,92
676,91
677,91
678,91
679,92
680,92
681,92
682,93
683,93
684,94
685,95
686,95
687,95
688,98
689,101
690,102
691,103
692,104
693,104
694,105
695,107
696,110
697,112
698,113
699,113
700,118
701,119
702,120
703,120
704,118
705,116
706,114
707,109
708,107
709,105
710,103
711,101
712,100
713,99
714,98
715,95
716,94
717,88
718,85
719,78
720,76
721,73
722,71
723,71
724,70
725,70
726,69
727,68
728,68
729,67
730,67
731,67
732,67
733,67
734,68
735,68
736,68
737,68
738,68
739,67
740,66
741,65
742,65
743,65
744,65
745,65
746,66
747,66
748,66
749,69
750,70
751,76
752,78
753,81
754,85
755,86
756,88
757,90
758,90
759,90
760,90
761,89
762,88
763,88
764,87
765,87
766,89
767,90
768,90
769,90
770,91
771,92
772,93
773,94
774,97
775,98
776,99
777,100
778,101
779,103
780,105
781,109
782,110
783,111
784,112
785,114
786,114
787,115
788,115
789,115
790,115
791,115
792,103
793,72
794,65
795,64
796,64
797,64
798,64
799,63
