measured signal,,,"""sqaure wave""",
x,y,,x,y
-0.065,61.67980586,,0,0
-0.055,67.06695022,,0,939.2794602
-0.045,77.90289077,,0.1,939.2794602
-0.035,99.68035013,,0.1,0
-0.025,181.6508224,,,
-0.015,363.1996207,,,
-0.005,614.0227144,,,
0.005,819.7967594,,,
0.015,929.8088491,,,
0.025,920.3644098,,,
0.035,770.8624033,,,
0.045,542.2956564,,,
0.055,319.1582118,,,
0.065,168.9654953,,,
0.075,101.1448562,,,
0.085,76.65151202,,,
0.095,66.45809072,,,
0.105,61.99678452,,,
0.115,59.64434126,,,
0.125,58.37235386,,,
0.135,66.50608218,,,
0.185,62.04610756,,,
0.235,59.69430066,,,
0.285,58.42095088,,,
0.335,57.72105608,,,
0.345,55.23841789,,,
0.355,55.01050281,,,
0.365,55.42765515,,,
0.375,56.18294127,,,
0.385,57.98761807,,,
0.395,61.53614244,,,
0.405,69.01755626,,,
0.415,84.10457375,,,
0.425,135.2167957,,,
0.435,291.9701343,,,
0.445,527.9395488,,,
0.455,741.4627523,,,
0.465,906.7141951,,,
0.475,939.2794602,,,
0.485,832.4391073,,,
0.495,627.4812393,,,
0.505,390.9097729,,,
0.515,206.3471281,,,
0.525,114.7010941,,,
0.535,81.74002571,,,
0.545,69.68503546,,,
